"id","url","title","areas_ids","areas_names","time","rating_count","rating_score","season_id","ep_id","media_id","type_name","tags","duration"
"610","https://www.bilibili.com/bangumi/play/ss41615?theme=movie","危","[1]","['中国大陆']","2022-01-01上映","","","41615","479317","28237324","电影","['爱情', '剧情', '短片']","7分钟"
"611","https://www.bilibili.com/bangumi/play/ss32012?theme=movie","去看火车","[1]","['中国大陆']","2020-01-17上映","","","32012","309871","28227200","电影","['短片', '剧情']","12分钟"
"612","https://www.bilibili.com/bangumi/play/ss41196?theme=movie","黎明前的约会","[1]","['中国大陆']","2021","","","41196","470146","28236904","电影","['短片', '剧情']","27分钟"
"613","https://www.bilibili.com/bangumi/play/ss41166?theme=movie","姐姐·弟弟","[1]","['中国大陆']","2021","","","41166","469735","28236872","电影","['短片', '剧情']","11分钟"
"614","https://www.bilibili.com/bangumi/play/ss12547?theme=movie","非常幸运","[1, 6]","['中国大陆', '中国香港']","2013-09-17上映","","","12547","199611","80872","电影","['喜剧', '爱情']","109分钟"
"615","https://www.bilibili.com/bangumi/play/ss39741?theme=movie","山水情","[1]","['中国大陆']","1988","650.0","9.8","39741","426816","28235435","电影","['动画', '短片']","19分钟"
"616","https://www.bilibili.com/bangumi/play/ss41819?theme=movie","在路上","[1]","['中国大陆']","2022-05-19上映","","","41819","515688","28337612","电影","['犯罪', '短片', '剧情']","6分钟"
"617","https://www.bilibili.com/bangumi/play/ss41989?theme=movie","红楼梦第三部：凤姐泼醋","[1, 1]","['中国大陆', '中国大陆']","1989-01-01上映","","","41989","515698","28338251","电影","['剧情', '爱情', '小说改', '家庭']","103分钟"
"618","https://www.bilibili.com/bangumi/play/ss39850?theme=movie","阿凡提","[1]","['中国大陆']","1979-01-01上映","","","39850","428946","28235544","电影","['喜剧']","96分钟"
"619","https://www.bilibili.com/bangumi/play/ss42425?theme=movie","守神","[1]","['中国大陆']","2022-08-04上映","","","42425","668891","28338883","电影","['短片', '动画']","10分钟"
"620","https://www.bilibili.com/bangumi/play/ss35847?theme=movie","花为媒","[1]","['中国大陆']","1963年","193.0","9.9","35847","363501","28231472","电影","['剧情', '喜剧', '爱情']","107分钟"
"621","https://www.bilibili.com/bangumi/play/ss47242?theme=movie","洋子的困惑","[1]","['中国大陆']","2023-10-28上映","","","47242","811656","20169421","电影","['剧情', '家庭']","101分钟"
"622","https://www.bilibili.com/bangumi/play/ss41513?theme=movie","快了","[1]","['中国大陆']","2022-01-01上映","","","41513","476745","28237222","电影","['短片', '剧情']","10分钟"
"623","https://www.bilibili.com/bangumi/play/ss39904?theme=movie","牧笛","[1]","['中国大陆']","1963","122.0","9.8","39904","430058","28235598","电影","['奇幻', '动画', '短片']","20分钟"
"624","https://www.bilibili.com/bangumi/play/ss38251?theme=movie","形影不离","[1]","['中国大陆']","2012-05-04上映","","","38251","391360","28233933","电影","['剧情', '悬疑']","97分钟"
"625","https://www.bilibili.com/bangumi/play/ss43085?theme=movie","戴手铐的旅客","[1]","['中国大陆']","1980-01-01上映","","","43085","701261","28339648","电影","['剧情', '动作', '悬疑']","102分钟"
"626","https://www.bilibili.com/bangumi/play/ss42992?theme=movie","元帅之死","[1]","['中国大陆']","1980-01-01上映","","","42992","675786","28339547","电影","['剧情']","99分钟"
"627","https://www.bilibili.com/bangumi/play/ss35849?theme=movie","冰山上的来客","[1]","['中国大陆']","1963年","189.0","9.8","35849","363527","28231474","电影","['剧情', '悬疑', '战争']","100分钟"
"628","https://www.bilibili.com/bangumi/play/ss46581?theme=movie","风雪山神庙","[1]","['中国大陆']","2023-11-10上映","","","46581","790469","21123186","电影","['短片', '动画']","6分钟"
"629","https://www.bilibili.com/bangumi/play/ss39845?theme=movie","一条丝腰带","[1]","['中国大陆']","1961-01-01上映","142.0","9.7","39845","430062","28235539","电影","['动画', '短片']","14分钟"
"630","https://www.bilibili.com/bangumi/play/ss10574?theme=movie","花漾","[1, 7]","['中国大陆', '中国台湾']","2012-12-28上映","","","10574","246261","128272","电影","['剧情', '爱情']","93分钟"
"631","https://www.bilibili.com/bangumi/play/ss12497?theme=movie","团圆","[1]","['中国大陆']","2010-02-11上映","","","12497","197775","73172","电影","['剧情', '家庭']","92分钟"
