mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
108,-0.017803018249639677,0.716583773241302,545,252,293,0.46238532110091746,0.5376146788990825
109,0.10662692437664273,0.5707394980429239,523,272,251,0.5200764818355641,0.47992351816443596
110,-0.009334798603524251,0.6911510935140117,385,181,204,0.4701298701298701,0.5298701298701298
111,-0.2417638187099302,0.6593624714902423,1524,496,1028,0.32545931758530183,0.6745406824146981
112,0.10479898584438836,0.6449513997467288,374,214,160,0.5721925133689839,0.42780748663101603
113,0.30124865311362947,0.5945642678345296,1998,1396,602,0.6986986986986987,0.3013013013013013
114,0.12274524425151753,0.5970104535144339,1998,1092,906,0.5465465465465466,0.45345345345345345
115,0.13339230695885565,0.6606799862094921,1682,949,733,0.5642092746730083,0.4357907253269917
116,-0.07495063260942698,0.6947550225010075,125,53,72,0.424,0.576
117,-0.30279106765102287,0.5798643527954869,329,84,245,0.2553191489361702,0.7446808510638298
118,-0.15649398367631576,0.608329039910603,693,259,434,0.37373737373737376,0.6262626262626263
119,0.07949467872676905,0.6007720624016426,320,167,153,0.521875,0.478125
120,-0.22799816003735981,0.5771767858096355,1992,626,1366,0.3142570281124498,0.6857429718875502
121,0.1351236820782632,0.563082593630959,451,250,201,0.5543237250554324,0.44567627494456763
122,0.15968060270239184,0.601001546489558,713,413,300,0.5792426367461431,0.42075736325385693
123,0.025441637187991493,0.5742496230373068,910,455,455,0.5,0.5
124,0.1417281947439489,0.587627333389896,511,293,218,0.5733855185909981,0.42661448140900193
125,0.12768238694407047,0.5872433844954978,420,233,187,0.5547619047619048,0.4452380952380952
126,0.1214098386177472,0.5984653091806531,754,429,325,0.5689655172413793,0.43103448275862066
127,0.28209806849920255,0.6129559166818321,674,445,229,0.6602373887240356,0.3397626112759644
128,-0.2059769842636336,0.6101770966376993,2014,687,1327,0.3411122144985104,0.6588877855014895
129,0.007948854009002863,0.6949838640044281,214,105,109,0.49065420560747663,0.5093457943925234
130,0.20469212211366442,0.6527109870249398,185,113,72,0.6108108108108108,0.3891891891891892
131,0.2707234665604774,0.6106019668033569,2000,1312,688,0.656,0.344
132,0.1673425146770921,0.5619415539930146,1175,742,433,0.6314893617021277,0.36851063829787234
133,0.06597890284189643,0.6525779378588062,1028,544,484,0.5291828793774319,0.4708171206225681
134,0.3486054302083068,0.5709411447384368,465,335,130,0.7204301075268817,0.27956989247311825
135,-0.10624750897998292,0.6703994077076252,913,373,540,0.4085432639649507,0.5914567360350493
136,-0.28453830878799613,0.6146072255581013,1336,363,973,0.2717065868263473,0.7282934131736527
137,0.02421838215010892,0.6868760673102812,984,500,484,0.508130081300813,0.491869918699187
138,-0.2846800584153945,0.6564104410088437,223,69,154,0.3094170403587444,0.6905829596412556
139,0.3405047832252679,0.5780057993850087,1094,783,311,0.7157221206581352,0.2842778793418647
140,0.10399600150061385,0.5730903154988372,828,459,369,0.5543478260869565,0.44565217391304346
141,0.1570435878466953,0.6313133142585452,1211,689,522,0.5689512799339389,0.4310487200660611
142,0.15226696017406768,0.558726600857159,670,386,284,0.5761194029850746,0.42388059701492536
143,0.12157371653057635,0.667126191557542,2000,1166,834,0.583,0.417
144,0.27784778971706775,0.6233044233450126,1013,674,339,0.6653504442250741,0.33464955577492594
145,0.024756012145126384,0.560216918444126,1780,870,910,0.4887640449438202,0.5112359550561798
146,0.013952555996836207,0.6384074140152326,396,195,201,0.49242424242424243,0.5075757575757576
147,0.18063117313504518,0.6440331952036573,399,247,152,0.6190476190476191,0.38095238095238093
148,-0.20633504797893085,0.6413588593309506,1294,440,854,0.3400309119010819,0.6599690880989181
149,0.037123328689485785,0.6512036237187951,550,291,259,0.5290909090909091,0.4709090909090909
150,-0.001045576626060543,0.6410004037626921,806,395,411,0.49007444168734493,0.5099255583126551
151,-0.026001366074299176,0.631312777860776,319,158,161,0.4952978056426332,0.5047021943573667
152,-0.19700137402704554,0.6022418878260092,1346,444,902,0.3298662704309064,0.6701337295690936
153,0.08932800664491608,0.6007606301894857,759,415,344,0.546772068511199,0.45322793148880103
154,0.04053669383058384,0.692521980018458,372,185,187,0.49731182795698925,0.5026881720430108
155,0.26575015258565393,0.5749712738167697,1997,1320,677,0.6609914872308462,0.3390085127691537
156,0.06567895440384745,0.659152641708108,420,220,200,0.5238095238095238,0.47619047619047616
157,0.11600096034750429,0.6241867278755069,1043,590,453,0.5656759348034516,0.4343240651965484
158,0.12416677241211449,0.6782885596710126,429,244,185,0.5687645687645687,0.43123543123543123
159,0.3464259767362695,0.5848222036333318,1996,1405,591,0.7039078156312625,0.29609218436873747
160,0.10139729525270309,0.6527881634035666,227,128,99,0.5638766519823789,0.43612334801762115
161,0.09349251116909307,0.7167612563400444,779,431,348,0.5532734274711169,0.4467265725288832
162,0.3265994741950029,0.5549080160324831,480,336,144,0.7,0.3
163,0.15837676738761666,0.6139241096437803,617,368,249,0.5964343598055105,0.4035656401944895
164,0.10106058889825865,0.61998052397542,1273,683,590,0.5365278868813825,0.4634721131186174
165,0.12260415747823163,0.6125357427875308,667,377,290,0.5652173913043478,0.43478260869565216
166,0.06040341783126321,0.5536769259710527,158,77,81,0.4873417721518987,0.5126582278481012
167,0.1406129822183478,0.6152914912332069,384,216,168,0.5625,0.4375
168,-0.1113862193448262,0.6862756597229751,180,77,103,0.42777777777777776,0.5722222222222222
