Title,Box Office,Average Price,Average Attendance,year
为国而歌,794,29.527998,3.0,2019
为家而战,1712,31.059647,2.0,2020
为爱重生,4470,37.251982517225954,54.75525727069351,2019
久别·重逢,106,38.799442,1.0,2025
乌海,1500,37.161144,3.0,2021
乌鲁木齐的天空,81,16.927055,37.0,2011
乌龙戏凤2012,265,29.396017,6.0,2012
乐一通大电影：地球爆炸之日,169,37.099808,1.0,2025
乐高大电影2,1844,33.705853,5.0,2019
乐高蝙蝠侠大电影,4199,34.10406,7.0,2017
乔乔的异想世界,1134,33.334736,6.0,2020
乔妍的心事,15137,39.107067,4.0,2024
乔布斯,1259,35.248608,10.0,2013
乔西的虎与鱼,685,31.820738,2.0,2021
乘客,254,37.023724,19.0,2022
乘船而去,158,36.028133,2.0,2024
乘风破浪,104605,36.31131,27.0,2017
九兰,72,36.418606,12.0,2022
九妹,1178,36.44134,8.0,2022
九层妖塔,68132,34.34746,30.0,2015
九条命,11352,28.30541075290698,11.854651162790697,2016
九零后,1158,33.19974,8.0,2021
九龙不败,1878,32.558254,3.0,2019
九龙城寨之围城,68643,41.02464367912242,6.987675363838993,2024
乡土,226,37.96366,21.0,2022
乡村青年,982,105.48176054989817,54.0,2019
了不起的夜晚,4690,35.669266,4.0,2023
了不起的盖茨比,8506,40.254684,19.0,2013
了不起的老爸,14874,36.234303,5.0,2021
了不起的菲丽西,4020,33.34202,15.0,2017
二代妖精之今生有幸,29224,34.754187397686835,20.70774021352313,2017
二十二,17059,30.34117,18.0,2017
二十岁,320,27.780048,3.0,2018
二哥来了怎么办,3051,33.52981,2.0,2021
二手杰作,11570,38.659847,4.0,2023
二次初恋,2616,32.088623,9.0,2017
二次曝光,10723,32.583687,18.0,2012
二狗返乡记,498,40.0,140.0,2015
二郎神之深海蛟龙,414,36.029488,2.0,2024
云上法官,7,20.0,48.0,2025
云上的云,1129,60.752970000000005,5.0,2024
云下的日子,38,25.438656,6.0,2011
云中行走,9070,34.896774,10.0,2016
云南虫谷,15024,37.415834572683714,13.091054313099042,2018
云图,16999,33.298126,26.0,2013
云在江口,95,31.792234000000004,14.0,2023
云边有个小卖部,49869,40.519417,6.0,2024
云霄之上,445,36.69392,7.0,2022
五个扑水的少年,6913,36.890050202516996,5.534210906986837,2021
五尺天涯,686,32.28269,3.0,2021
五月天人生无限公司,5021,38.383476,5.0,2019
五月天追梦,1604,40.20585,12.0,2011
井冈星火,1641,37.998287,54.0,2023
亚瑟3：终极对决,411,26.824282,9.0,2011
亚瑟王：斗兽争霸,5707,35.3658,7.0,2017
亚马逊萌猴奇遇记,1550,33.515663,10.0,2015
亡命地中海,858,34.862247,7.0,2015
亡命救护车,1584,34.335926,1.0,2022
亡命救赎,1422,29.416018,3.0,2018
交换人生,39347,49.58561,13.0,2023
京城81号,41159,35.514374,30.0,2014
京城81号2,21898,35.19407,13.0,2017
亲亲我,10,19.51369,17.0,2011
亲家过年,1287,30.267439,12.0,2012
亲密敌人,11028,35.76161446599565,25.979597388465724,2011
亲密旅行,385,34.965294,5.0,2019
亲爱的,34437,33.7068,22.0,2014
亲爱的新年好,6270,35.804790620095694,12.337799043062201,2019
人之怒,16634,33.967457,7.0,2021
人再囧途之泰囧,127052,32.465296504580806,50.49639517677801,2012
人在囧途,64,29.55581,36.0,2012
人山人海,114,32.671234,4.0,2012
人怕出名猪怕壮,838,35.633915,31.0,2018
人民万岁,1683,40.46653490909091,16.68686868686869,2023
人潮汹涌,76237,41.317425,10.0,2021
人狼大战,3814,31.572542,13.0,2012
人生不能重来,17,24.235592,76.0,2013
人生大事,171259,40.256683,10.0,2022
人生开门红,13778,39.352013,3.0,2025
人生路不熟,118486,41.487186,9.0,2023
人皮拼图,405,28.033787,3.0,2015
人间·喜剧,6321,35.384445,5.0,2019
人间·小团圆,1415,31.441284,6.0,2014
人间世,130,33.470917,2.0,2022
人间蒸发,433,30.225828,5.0,2013
今夜在浪漫剧场,1232,34.89472,7.0,2019
今夜，就算这份爱恋从世界上消失,1792,37.92298,3.0,2024
今天·明天,153,22.11519,7.0,2012
今年二十二,602,42.7672,2.0,2024
从21世纪安全撤离,11205,42.366615,5.0,2024
从你的全世界路过,81328,31.217472,22.0,2016
从天儿降,5647,28.086752000000004,10.0,2015
他们已不再变老,334,38.38692,3.0,2019
他是龙,6004,31.33889,13.0,2016
仙球大战,982,28.143500000000003,5.0,2017
以寡敌众,47,33.691673,1.0,2020
以年为单位的恋爱,23198,38.215618237348046,14.459263729631864,2021
以法之名,46,21.02423943478261,33.56521739130435,2022
以爱为名,872,37.32192,22.0,2017
仲肯,129,39.041595,1.0,2023
企鹅公路,334,31.791872,2.0,2019
伊朗电影展映,82,79.5861,154.0,2022
会痛的十七岁,766,26.536145999999995,3.0,2017
会计刺客2,495,40.60933,1.0,2025
伞少女,1911,39.906864,2.0,2024
伟大征程,1040,42.10768243076923,2.3692307692307693,2024
传奇将军赵尚志,8,54.12518,74.0,2011
传奇的诞生,2828,30.540748999999998,5.0,2018
传说,8001,38.751057,5.0,2024
伤心童话,1147,29.64654,6.0,2012
伦敦陷落,33909,31.847462000000004,16.0,2016
但丁密码,13404,30.527924,11.0,2016
低压槽：欲望之城,3491,36.55909,5.0,2018
何以为家,37684,31.363129647887703,9.97781551852245,2019
何以笙箫默,35290,32.956448,19.0,2015
何以飞翔,412,39.13805508737864,6.495145631067961,2021
何叔衡,37,45.711422,8.0,2022
余生那些年,2150,31.412157,5.0,2023
你在哪里,497,40.0,162.0,2015
你好FM949,5,36.02987,2.0,2025
你好世界,13652,31.370966000000003,5.0,2021
你好，之华,8020,36.19342,6.0,2018
你好，李焕英,541320,44.756565,24.0,2021
你好，疯子！,1567,29.33822360689215,8.594128908742821,2016
你就在我身边,306,37.411613,1.0,2024
你想活出怎样的人生,79117,38.88632,7.0,2024
你是凶手,4866,35.479945450061656,6.120427455815865,2019
你是哪里人,59,25.419376,6.0,2011
你是我的一束光,582,34.03565,1.0,2022
你是我的春天,3064,36.40921,3.0,2022
你是我的英雄,1155,47.01668735064935,2.155844155844156,2024
你的世界如果没有我,3035,35.24833,3.0,2021
你的名字。,71319,29.82083250693364,18.969825712643196,2016
你的婚礼,82278,37.59076293788133,15.20134179245971,2021
你的情歌,214,33.667534,1.0,2021
你的颜色,1733,38.519974,2.0,2025
你美丽了我的人生,363,27.805450000000004,6.0,2018
你若安好,1137,40.896183,21.0,2017
佩小姐的奇幻城堡,11808,32.134014,13.0,2016
使命召唤,796,31.631154000000002,4.0,2015
使徒行者,60531,29.397663,24.0,2016
使徒行者2：谍影行动,70192,36.283855,17.0,2019
侍神令,27398,46.45863,15.0,2021
侏罗纪世界,141817,38.28845,33.0,2015
侏罗纪世界2,169590,35.697506,19.0,2018
侏罗纪世界3,105944,35.558052,8.0,2022
侏罗纪公园,34911,38.046314,26.0,2013
侏罗纪大乐园,145,26.396486,2.0,2022
侠探杰克,9709,32.179672,21.0,2013
侠探杰克：永不回头,6100,30.396477,8.0,2016
侠盗石川,108,29.53426,7.0,2011
侠盗联盟,23728,30.773093999999997,21.0,2017
侠路相逢,1098,47.33993,13.0,2019
俑之城,6993,35.54419,5.0,2021
保你平安,70065,42.161846,6.0,2023
保家卫国——抗美援朝光影纪实,1906,37.878185,8.0,2020
保持沉默,2155,34.19322,5.0,2019
保持通话,931,27.51792457142857,136.0,2014
信仰者,1158,30.494692,13.0,2018
信念一生,352,45.753834,21.0,2020
信条,45624,38.88702,10.0,2020
信者,366,30.41686286885246,31.46448087431694,2021
倍儿喜欢你,530,37.043232,1.0,2023
倒仓,327,34.805763,2.0,2024
倒数说爱你,2637,37.67577,4.0,2023
候鸟,910,38.87581,3.0,2021
借你俩胆,171,29.655602,5.0,2012
借眼,473,30.384926,4.0,2017
倩女幽魂,16410,34.59997306727605,19.17367458866545,2011
倭寇的踪迹,31,28.91779,3.0,2012
倾城,61,27.464119,3.0,2013
倾城之泪,4392,33.71951579462659,15.244990892531876,2011
假如王子睡着了,546,29.344086,3.0,2017
假如，我是这世上最爱你的人,1513,40.74558,2.0,2024
假爸爸,4053,38.004948,2.0,2025
假装情侣,3089,31.03472,18.0,2011
假面饭店,1704,33.31565,5.0,2020
做次有钱人,143,28.132765,5.0,2012
健忘村,1602,32.765274,8.0,2017
傍晚向日葵,383,33.997227,38.0,2023
催命符之劫后重生,237,22.840368,5.0,2016
催眠·裁决,10036,36.318614865683536,6.974292546831407,2019
催眠大师,27365,31.74995,20.0,2014
傲娇与偏见,12427,29.538347,12.0,2017
像小强一样活着,463,25.445045000000004,12.0,2011
像素大战,10078,34.995846,9.0,2015
兄弟,321,24.993376,152.0,2014
兄弟，别闹！,1210,30.009314,5.0,2017
先驱者,20,23.799734,53.0,2011
光,338,32.65737,1.0,2020
光影湾区·香江风华-庆祝香港回归祖国25周年香港电影展映,82,53.903633,35.0,2022
光明使者周维忠,77,40.11319,62.0,2023
光棍终结者,118,27.788004,6.0,2011
光的棍,61,29.73339,2.0,2013
光语者,37,34.61129,1.0,2020
光辉岁月,372,30.803844,4.0,2013
克隆人,532,29.789322,3.0,2018
兔侠之青黎传说,2970,40.420734,27.0,2015
兔侠传奇,1550,34.771988,15.0,2011
兔子暴力,2667,34.15319,3.0,2021
入殓师,6623,32.48417,5.0,2021
全员嫌疑人,2172,36.87534,2.0,2024
全城戒备,1,9.785714,1400.0,2011
全城通缉,3488,31.144586999999998,11.0,2014
全城高考,306,27.465004,8.0,2013
全民目击,18100,31.929476,19.0,2013
全球热恋,5610,33.309803,18.0,2011
全球风暴,43403,34.574272,13.0,2017
全职高手之巅峰荣耀,8562,35.35017,9.0,2019
全面回忆,11624,32.025818,17.0,2012
八佰,311084,38.33633,20.0,2020
八十天环游地球,187,37.1879,3.0,2024
八卦宗师,85,29.277973,4.0,2012
八子,2076,31.187859,4.0,2019
八戒之天蓬下界,358,43.935436,3.0,2024
八月,435,33.428314,3.0,2017
八月未央,6796,32.032627,4.0,2021
八百矿工上井冈,1125,27.313478161777777,86.52,2023
八角笼中,220739,40.71143,18.0,2023
