id,title,year,rating_count,rating_score,tp_drama,tp_comedy,tp_action,tp_romance,polarity_mean,polarity_std,comment_count,positive_ratio,negative_ratio,box_off,avg_price,avg_attend
302,夜孔雀,2016,290.0,5.3,1,0,0,1,-0.1468467249318301,0.5934061046662952,159,0.4213836477987421,0.5786163522012578,3313,27.59181,7.0
303,金刚王：死亡救赎,2013,205.0,8.4,1,0,1,0,0.1362665551833999,0.6029596499382472,78,0.5512820512820513,0.4487179487179487,1253,30.73552,7.0
304,大魔术师,2012,520.0,7.2,1,1,0,1,-0.0137544702935281,0.650714794187253,142,0.5,0.5,17343,33.882114,33.0
305,比利·林恩的中场战事,2016,1562.0,9.3,1,0,0,0,0.0561284393923623,0.6376337673120361,350,0.5285714285714286,0.4714285714285714,16487,43.543396,10.0
306,心理罪之城市之光,2017,1456.0,8.6,0,0,1,0,0.1963352936503028,0.6665797600000378,402,0.599502487562189,0.4004975124378109,22417,32.578911105857166,17.634563054824465
307,刺猬,2024,,,1,1,0,0,0.3709898203237406,0.5667725474680886,1295,0.7397683397683398,0.2602316602316602,14461,40.6685,4.0
308,大上海,2012,449.0,8.6,1,0,1,0,0.2455125799934779,0.6376452839790047,105,0.6095238095238096,0.3904761904761905,14951,33.71124546659087,24.090830044813057
310,我的青春期,2015,392.0,8.0,1,0,0,1,0.0061134300367147,0.6523881851416181,162,0.4814814814814814,0.5185185185185185,1228,28.217087000000003,6.0
311,刑警兄弟,2016,,,0,1,1,0,-0.2854113976160686,0.5921487225316819,3,0.3333333333333333,0.6666666666666666,3024,29.264275,10.0
314,封神第二部：战火西岐,2025,,,0,0,1,0,-0.2751156057843386,0.6550867347800227,108,0.3425925925925926,0.6574074074074074,123886,51.450768,20.0
317,三国之见龙卸甲,2014,1912.0,7.0,1,0,1,0,-0.0561216005066039,0.6583982756818992,609,0.4679802955665024,0.5320197044334976,168,24.868147,198.0
318,搜索,2012,1264.0,9.3,1,0,0,0,0.0061197522848557,0.6406694801743389,416,0.4975961538461538,0.5024038461538461,17309,32.774773,23.0
319,窃听风云2,2011,830.0,9.5,1,0,1,0,0.0752122707064113,0.6108361155318733,155,0.5612903225806452,0.4387096774193548,20869,33.52953,30.0
320,谍影重重5,2016,229.0,9.2,0,0,1,0,0.0787551488094734,0.5979444868304227,159,0.490566037735849,0.5094339622641509,44644,33.32567,16.0
321,穿过月亮的旅行,2024,191.0,9.2,1,0,0,1,0.4622002692866913,0.5309825301435739,142,0.8028169014084507,0.1971830985915492,4584,40.34207,4.0
325,财神客栈,2011,,,0,1,1,0,0.0437894807389331,0.5455208189654618,63,0.5079365079365079,0.492063492063492,10233,30.30436,27.0
329,大笑江湖,2011,305.0,8.8,0,0,1,1,0.0095492267277109,0.5904718060626524,209,0.4880382775119617,0.5119617224880383,57,31.293976,10.0
331,“炼”爱,2022,619.0,8.2,0,0,0,1,0.0189517650612478,0.6576757658176339,172,0.5058139534883721,0.4941860465116279,40,32.748524,1.0
332,猪猪侠大电影·星际行动,2024,236.0,2.8,0,1,0,0,-0.283485232074471,0.5526321008938962,170,0.2823529411764706,0.7176470588235294,5475,35.535126,6.0
335,罗曼蒂克消亡史,2016,1355.0,9.2,1,0,1,0,0.1452011650907669,0.6357550505486098,303,0.5610561056105611,0.4389438943894389,12278,31.706262755171853,11.187897051637076
341,超验骇客,2014,1611.0,8.5,0,0,1,1,-0.1897272658410501,0.6514279112917251,376,0.3803191489361702,0.6196808510638298,12567,39.06861,14.0
344,银河写手,2024,263.0,8.5,1,1,0,0,0.0608857598147033,0.6371141185156608,214,0.514018691588785,0.4859813084112149,425,39.66913,1.0
347,八月未央,2021,2045.0,2.5,0,0,0,1,-0.2941313970254779,0.5967835023741483,656,0.2820121951219512,0.7179878048780488,6796,32.032627,4.0
349,蜘蛛夫人：超感觉醒,2024,158.0,2.7,0,0,1,0,-0.3477228526294661,0.5114557408508965,104,0.2115384615384615,0.7884615384615384,583,41.216732,2.0
350,望道,2023,,,1,0,0,0,0.1029889559069154,0.653828979132786,49,0.5102040816326531,0.4897959183673469,8087,42.137405,14.0
351,一路惊喜,2015,195.0,6.8,0,1,0,1,0.1652368168166328,0.6710329528324339,62,0.6129032258064516,0.3870967741935484,6909,37.68099,16.0
353,像素大战,2015,533.0,8.0,0,1,1,0,0.0160364195915687,0.6665339006004962,194,0.5412371134020618,0.4587628865979381,10078,34.995846,9.0
354,全城高考,2013,567.0,6.1,1,0,0,0,-0.0547456230555291,0.6824325978283063,212,0.4433962264150943,0.5566037735849056,306,27.465004,8.0
355,浮城大亨,2012,952.0,9.7,1,0,0,0,0.3308928608416747,0.5901925979959441,351,0.7236467236467237,0.2763532763532763,885,30.873087,6.0
356,不能流泪的悲伤,2023,,,1,1,0,1,-0.0302735204664124,0.627503365080882,71,0.4647887323943662,0.5352112676056338,5536,41.818996,5.0
357,盟军敢死队,2024,,,1,0,0,0,0.017174391151995,0.6043227127671282,49,0.5102040816326531,0.4897959183673469,520,40.34144,1.0
358,周恩来的四个昼夜,2013,2340.0,9.8,1,0,0,0,0.2090242923165743,0.5918053503413389,520,0.6346153846153846,0.3653846153846153,5855,31.63971466951324,77.84884713919726
359,驴得水,2016,313.0,9.6,1,1,0,0,-0.0336430857639087,0.5846022958807093,227,0.4273127753303964,0.5726872246696035,17276,29.922623,11.0
360,四大名捕大结局,2014,319.0,5.8,0,0,1,1,-0.1290403589734743,0.6661534297641509,87,0.425287356321839,0.5747126436781609,19202,36.61039,18.0
369,警察日记,2014,193.0,9.5,1,0,0,0,0.2490153378127394,0.6124627100832055,74,0.6756756756756757,0.3243243243243243,172,24.899796,4.0
372,十全九美,2012,333.0,7.8,0,1,0,0,-0.0283894966147383,0.6425103314071627,98,0.4795918367346938,0.5204081632653061,315,24.330987866666668,146.98730158730157
374,侠探杰克：永不回头,2016,502.0,8.6,0,0,1,0,-0.0444828258751302,0.7159944739861905,98,0.4897959183673469,0.5102040816326531,6100,30.396477,8.0
375,四大名捕,2012,402.0,6.4,0,0,1,1,-0.1543941285908799,0.6565485727553019,129,0.3875968992248062,0.6124031007751938,19915,32.29362124067286,26.808586492593523
376,沙漏,2024,,,1,0,0,1,-0.0850391647944303,0.6664065161168959,73,0.410958904109589,0.589041095890411,3006,38.32414,3.0
377,重来,2011,,,1,0,0,0,-0.0638175423202269,0.6735972306244046,17,0.4705882352941176,0.5294117647058824,13,29.553572,5.0
378,整容日记,2014,249.0,6.1,0,1,0,1,-0.2194135463113586,0.5979951393733403,75,0.4,0.6,8435,30.894207,12.0
379,101次求婚,2013,987.0,8.1,0,0,0,1,-0.0151955131352657,0.6409583193697077,315,0.4634920634920635,0.5365079365079365,19997,33.460766,25.0
382,欢迎来到我身边,2024,507.0,9.1,0,1,0,1,0.2917217123866468,0.5878055737011483,385,0.6961038961038961,0.3038961038961039,4555,42.86203,3.0
